State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Illinois,2000,"$1,105.5M",$0.0M,$74.0M,$151.4M,"$1,330.9M","$17,163.7M","$7,404.5M","$9,576.5M",$940.4M,"$35,085.1M",6.4%,0.0%,0.8%,16.1%,3.8%
Illinois,2001,"$1,178.1M",$0.0M,$80.6M,$158.8M,"$1,417.5M","$17,961.4M","$8,188.4M","$10,294.0M","$1,573.9M","$38,017.7M",6.6%,0.0%,0.8%,10.1%,3.7%
Illinois,2002,"$1,221.0M",$0.0M,$95.9M,$95.7M,"$1,412.6M","$17,830.7M","$8,417.8M","$11,082.4M","$2,206.0M","$39,536.9M",6.8%,0.0%,0.9%,4.3%,3.6%
Illinois,2003,"$1,162.0M",$0.0M,$83.0M,$90.0M,"$1,335.0M","$18,128.0M","$7,549.0M","$13,142.0M","$2,059.0M","$40,878.0M",6.4%,0.0%,0.6%,4.4%,3.3%
Illinois,2004,"$1,183.0M",$0.0M,$73.0M,$45.0M,"$1,301.0M","$17,436.0M","$9,126.0M","$21,737.0M","$2,037.0M","$50,336.0M",6.8%,0.0%,0.3%,2.2%,2.6%
Illinois,2005,"$1,082.0M",$0.0M,$87.0M,$26.0M,"$1,195.0M","$17,374.1M","$10,863.5M","$11,392.2M","$1,114.0M","$40,743.9M",6.2%,0.0%,0.8%,2.3%,2.9%
Illinois,2006,"$1,057.0M",$0.0M,$63.0M,$11.0M,"$1,131.0M","$19,470.0M","$10,685.0M","$12,373.0M",$894.0M,"$43,422.0M",5.4%,0.0%,0.5%,1.2%,2.6%
Illinois,2007,"$1,230.0M",$0.0M,$90.0M,$20.4M,"$1,340.4M","$20,846.8M","$11,397.8M","$13,362.1M",$615.5M,"$46,222.3M",5.9%,0.0%,0.7%,3.3%,2.9%
Illinois,2008,"$1,208.0M",$0.0M,$81.0M,$0.0M,"$1,289.0M","$22,139.9M","$11,072.6M","$11,046.6M",$306.3M,"$44,565.5M",5.5%,0.0%,0.7%,0.0%,2.9%
Illinois,2009,"$1,308.0M",$0.0M,$66.0M,$8.0M,"$1,382.0M","$29,788.0M","$14,262.0M","$13,539.0M",$151.0M,"$57,740.0M",4.4%,0.0%,0.5%,5.3%,2.4%
Illinois,2010,"$1,272.0M",$0.0M,$76.0M,$7.0M,"$1,355.0M","$26,316.1M","$12,083.4M","$10,020.6M",$895.0M,"$49,315.0M",4.8%,0.0%,0.8%,0.8%,2.7%
Illinois,2011,"$1,324.3M",$0.0M,$72.5M,$6.0M,"$1,402.8M","$25,236.7M","$14,820.9M","$14,375.1M","$1,957.0M","$56,389.8M",5.2%,0.0%,0.5%,0.3%,2.5%
Illinois,2012,"$1,326.5M",$0.0M,$80.9M,$7.0M,"$1,414.4M","$29,291.4M","$14,006.7M","$14,426.2M","$2,122.0M","$59,846.3M",4.5%,0.0%,0.6%,0.3%,2.4%
Illinois,2013,"$1,280.0M",$0.0M,$80.0M,$19.0M,"$1,379.0M","$26,901.0M","$12,918.1M","$16,383.0M","$1,970.0M","$58,172.0M",4.8%,0.0%,0.5%,1.0%,2.4%
Illinois,2014,"$1,391.0M",$0.0M,$83.0M,$14.0M,"$1,488.0M","$28,380.1M","$13,713.1M","$16,698.1M","$2,398.0M","$61,189.3M",4.9%,0.0%,0.5%,0.6%,2.4%
Illinois,2015,"$1,428.0M",$0.0M,$79.0M,$23.0M,"$1,530.0M","$28,901.9M","$14,365.5M","$19,195.0M","$2,481.1M","$64,943.4M",4.9%,0.0%,0.4%,0.9%,2.4%
Illinois,2016,"$1,006.0M",$0.0M,$70.0M,$17.0M,"$1,093.0M","$26,761.6M","$15,875.2M","$11,505.6M",$781.7M,"$54,924.1M",3.8%,0.0%,0.6%,2.2%,2.0%
Illinois,2017,"$1,333.0M",$0.0M,$53.0M,$12.0M,"$1,398.0M","$29,423.9M","$14,832.6M","$22,386.5M","$1,358.7M","$68,001.6M",4.5%,0.0%,0.2%,0.9%,2.1%
Illinois,2018,"$1,996.0M",$0.0M,$63.0M,$22.0M,"$2,081.0M","$35,408.8M","$16,940.4M","$19,899.8M",$533.9M,"$72,782.9M",5.6%,0.0%,0.3%,4.1%,2.9%
Illinois,2019,"$1,623.0M",$0.0M,$48.0M,$23.0M,"$1,694.0M","$35,678.0M","$17,054.6M","$18,909.0M",$575.6M,"$72,217.1M",4.5%,0.0%,0.3%,4.0%,2.3%
Indiana,1991,$254.4M,$0.0M,$34.5M,$21.3M,$310.2M,"$5,948.3M","$2,583.3M","$1,167.1M",$119.4M,"$9,818.1M",4.3%,0.0%,3.0%,17.8%,3.2%
Indiana,1992,$272.6M,$0.0M,$29.9M,$29.6M,$332.1M,"$5,796.5M","$3,078.6M","$1,196.8M",$85.4M,"$10,157.3M",4.7%,0.0%,2.5%,34.7%,3.3%
Indiana,1993,$295.0M,$7.2M,$18.7M,$24.6M,$345.5M,"$6,308.8M","$3,225.9M","$1,825.3M",$57.3M,"$11,417.3M",4.7%,0.2%,1.0%,42.9%,3.0%
Indiana,1994,$307.6M,$7.2M,$18.2M,$11.7M,$344.7M,"$6,639.8M","$3,757.1M","$2,079.2M",$46.8M,"$12,522.9M",4.6%,0.2%,0.9%,25.0%,2.8%
Indiana,1995,$323.7M,$7.0M,$32.3M,$6.7M,$369.7M,"$7,019.0M","$3,386.2M","$2,365.9M",$6.7M,"$12,777.8M",4.6%,0.2%,1.4%,100.0%,2.9%
Indiana,1996,$353.0M,$0.0M,$33.0M,$33.0M,$419.0M,"$7,344.0M","$3,447.0M","$3,480.0M",$33.0M,"$14,304.0M",4.8%,0.0%,0.9%,100.0%,2.9%
Indiana,1997,$382.0M,$0.0M,$45.0M,$198.0M,$625.0M,"$6,074.0M","$3,508.0M","$4,421.0M",$198.0M,"$14,201.0M",6.3%,0.0%,1.0%,100.0%,4.4%
Indiana,1998,$428.0M,$0.0M,$74.0M,$98.0M,$600.0M,"$6,706.0M","$3,643.0M","$4,385.0M",$162.0M,"$14,896.0M",6.4%,0.0%,1.7%,60.5%,4.0%
Indiana,1999,$442.7M,$0.0M,$51.5M,$96.8M,$591.0M,"$6,585.1M","$3,773.0M","$4,653.6M",$122.9M,"$15,134.6M",6.7%,0.0%,1.1%,78.8%,3.9%
Indiana,2000,$522.0M,$0.0M,$50.0M,$45.0M,$617.0M,"$9,450.0M","$4,322.0M","$2,555.0M",$236.0M,"$16,563.0M",5.5%,0.0%,2.0%,19.1%,3.7%
Indiana,2001,$605.0M,$1.0M,$60.0M,$67.0M,$733.0M,"$10,018.0M","$4,840.0M","$2,297.0M",$128.0M,"$17,283.0M",6.0%,0.0%,2.6%,52.3%,4.2%
Indiana,2002,$674.0M,$1.0M,$55.0M,$128.0M,$858.0M,"$9,708.0M","$5,648.0M","$2,693.0M",$264.0M,"$18,313.0M",6.9%,0.0%,2.0%,48.5%,4.7%
Indiana,2003,$639.0M,$1.0M,$58.0M,$0.0M,$698.0M,"$10,235.0M","$5,766.0M","$3,054.0M",$233.0M,"$19,288.0M",6.2%,0.0%,1.9%,0.0%,3.6%
Indiana,2004,$679.0M,$1.0M,$63.0M,$0.0M,$743.0M,"$11,385.7M","$7,041.0M","$7,048.0M",$495.7M,"$25,970.4M",6.0%,0.0%,0.9%,0.0%,2.9%
Indiana,2005,$663.0M,$1.0M,$67.0M,$0.0M,$731.0M,"$11,691.0M","$6,701.0M","$2,874.0M",$254.0M,"$21,520.0M",5.7%,0.0%,2.3%,0.0%,3.4%
Indiana,2006,$613.0M,$0.0M,$54.0M,$0.0M,$667.0M,"$11,911.0M","$6,683.0M","$2,844.0M",$192.0M,"$21,630.0M",5.1%,0.0%,1.9%,0.0%,3.1%
Indiana,2007,$645.0M,$0.0M,$75.0M,$0.0M,$720.0M,"$12,247.0M","$7,107.0M","$3,406.0M",$37.0M,"$22,797.0M",5.3%,0.0%,2.2%,0.0%,3.2%
Indiana,2008,$669.0M,$0.0M,$65.0M,$0.0M,$734.0M,"$12,880.0M","$7,818.0M","$3,380.0M",$161.0M,"$24,239.0M",5.2%,0.0%,1.9%,0.0%,3.0%
Indiana,2009,$690.0M,$0.0M,$63.0M,$0.0M,$753.0M,"$13,036.0M","$9,060.0M","$3,525.0M",$98.0M,"$25,719.0M",5.3%,0.0%,1.8%,0.0%,2.9%
Indiana,2010,$708.0M,$1.0M,$53.0M,$0.0M,$762.0M,"$12,915.0M","$10,333.0M","$3,239.0M",$169.0M,"$26,656.0M",5.5%,0.0%,1.6%,0.0%,2.9%
Indiana,2011,$703.0M,$1.0M,$57.0M,$0.0M,$761.0M,"$13,037.0M","$9,952.0M","$3,348.0M",$100.0M,"$26,437.0M",5.4%,0.0%,1.7%,0.0%,2.9%
Indiana,2012,$694.0M,$5.0M,$53.0M,$0.0M,$752.0M,"$13,579.0M","$9,272.0M","$3,344.0M",$0.0M,"$26,195.0M",5.1%,0.1%,1.6%,,2.9%
Indiana,2013,$687.0M,$5.0M,$58.0M,$0.0M,$750.0M,"$14,189.0M","$10,357.0M","$3,625.0M",$0.0M,"$28,171.0M",4.8%,0.0%,1.6%,,2.7%
Indiana,2014,$714.0M,$4.0M,$51.0M,$0.0M,$769.0M,"$14,553.0M","$9,978.0M","$2,729.0M",$0.0M,"$27,260.0M",4.9%,0.0%,1.9%,,2.8%
Indiana,2015,$724.0M,$4.0M,$47.5M,$0.0M,$775.5M,"$15,346.0M","$10,305.0M","$3,691.0M",$0.0M,"$29,342.0M",4.7%,0.0%,1.3%,,2.6%
Indiana,2016,$744.0M,$3.0M,$49.0M,$0.0M,$796.0M,"$15,130.0M","$12,289.0M","$3,790.0M",$0.0M,"$31,209.0M",4.9%,0.0%,1.3%,,2.6%
Indiana,2017,$744.0M,$3.0M,$59.0M,$0.0M,$806.0M,"$15,971.0M","$12,421.0M","$3,536.0M",$0.0M,"$31,928.0M",4.7%,0.0%,1.7%,,2.5%
Indiana,2018,$755.0M,$3.0M,$53.0M,$0.0M,$811.0M,"$15,846.0M","$13,578.0M","$4,197.0M",$0.0M,"$33,621.0M",4.8%,0.0%,1.3%,,2.4%
Indiana,2019,$778.0M,$3.0M,$55.0M,$0.0M,$836.0M,"$16,208.0M","$13,777.0M","$4,294.0M",$0.0M,"$34,279.0M",4.8%,0.0%,1.3%,,2.4%
Iowa,1991,$109.1M,$0.1M,$19.2M,$0.0M,$128.4M,"$3,144.2M","$1,421.8M","$2,771.7M",$0.0M,"$7,337.7M",3.5%,0.0%,0.7%,,1.7%
Iowa,1992,$115.9M,$0.0M,$15.8M,$0.0M,$131.7M,"$3,204.1M","$1,582.0M","$2,745.6M",$0.0M,"$7,531.7M",3.6%,0.0%,0.6%,,1.7%
Iowa,1993,$134.2M,$0.0M,$19.7M,$0.0M,$153.9M,"$3,441.5M","$1,796.8M","$2,845.5M",$0.0M,"$8,083.8M",3.9%,0.0%,0.7%,,1.9%
Iowa,1994,$139.3M,$0.0M,$17.9M,$0.0M,$157.2M,"$3,503.1M","$1,990.1M","$2,623.7M",$0.0M,"$8,116.9M",4.0%,0.0%,0.7%,,1.9%
Iowa,1995,$143.4M,$0.0M,$27.3M,$0.0M,$170.7M,"$3,641.4M","$2,242.0M","$2,581.9M",$0.0M,"$8,465.3M",3.9%,0.0%,1.1%,,2.0%
Iowa,1996,$156.2M,$0.0M,$23.2M,$0.0M,$179.4M,"$3,855.4M","$2,105.5M","$2,905.6M",$0.0M,"$8,866.5M",4.1%,0.0%,0.8%,,2.0%
Iowa,1997,$168.1M,$0.5M,$31.2M,$0.0M,$199.8M,"$4,138.4M","$2,055.0M","$3,218.4M",$0.0M,"$9,411.8M",4.1%,0.0%,1.0%,,2.1%
Iowa,1998,$197.9M,$2.6M,$28.1M,$0.0M,$228.6M,"$4,359.3M","$2,290.6M","$3,252.3M",$0.0M,"$9,902.2M",4.5%,0.1%,0.9%,,2.3%
Iowa,1999,$218.6M,$4.8M,$44.5M,$9.9M,$277.8M,"$4,529.4M","$2,516.3M","$3,603.5M",$34.7M,"$10,683.9M",4.8%,0.2%,1.2%,28.5%,2.6%
Iowa,2000,$238.0M,$6.0M,$51.0M,$0.0M,$295.0M,"$4,721.0M","$2,769.0M","$4,085.0M",$0.0M,"$11,575.0M",5.0%,0.2%,1.2%,,2.5%
Iowa,2001,$253.0M,$3.0M,$44.0M,$0.0M,$300.0M,"$4,887.0M","$2,982.0M","$4,450.0M",$0.0M,"$12,319.0M",5.2%,0.1%,1.0%,,2.4%
Iowa,2002,$242.0M,$10.0M,$40.0M,$7.0M,$299.0M,"$4,605.0M","$3,556.0M","$3,864.0M",$129.0M,"$12,154.0M",5.3%,0.3%,1.0%,5.4%,2.5%
Iowa,2003,$243.0M,$1.0M,$43.0M,$7.0M,$294.0M,"$4,526.0M","$3,760.0M","$4,683.0M",$164.0M,"$13,133.0M",5.4%,0.0%,0.9%,4.3%,2.2%
Iowa,2004,$266.0M,$2.0M,$31.0M,$5.0M,$304.0M,"$4,104.0M","$3,585.0M","$4,079.0M",$101.0M,"$11,869.0M",6.5%,0.1%,0.8%,5.0%,2.6%
Iowa,2005,$273.0M,$1.0M,$52.0M,$10.0M,$336.0M,"$4,604.0M","$4,149.0M","$5,016.0M",$106.0M,"$13,875.0M",5.9%,0.0%,1.0%,9.4%,2.4%
Iowa,2006,$296.0M,$1.0M,$55.0M,$15.0M,$367.0M,"$4,989.0M","$3,922.0M","$5,680.0M",$78.0M,"$14,669.0M",5.9%,0.0%,1.0%,19.2%,2.5%
Iowa,2007,$319.0M,$1.0M,$74.0M,$13.0M,$407.0M,"$5,363.0M","$3,959.0M","$5,453.0M",$69.0M,"$14,844.0M",5.9%,0.0%,1.4%,18.8%,2.7%
Iowa,2008,$353.0M,$1.0M,$59.0M,$4.0M,$417.0M,"$5,867.0M","$4,565.0M","$5,668.0M",$29.0M,"$16,129.0M",6.0%,0.0%,1.0%,13.8%,2.6%
Iowa,2009,$363.0M,$1.0M,$61.0M,$1.0M,$426.0M,"$5,904.0M","$5,201.0M","$6,329.0M",$43.0M,"$17,477.0M",6.1%,0.0%,1.0%,2.3%,2.4%
Iowa,2010,$329.0M,$22.0M,$68.0M,$1.0M,$420.0M,"$5,302.0M","$6,174.0M","$6,050.0M",$111.0M,"$17,637.0M",6.2%,0.4%,1.1%,0.9%,2.4%
Iowa,2011,$335.0M,$2.0M,$0.0M,$1.0M,$338.0M,"$5,354.0M","$6,147.0M","$6,258.0M",$229.0M,"$17,988.0M",6.3%,0.0%,0.0%,0.4%,1.9%
Iowa,2012,$354.0M,$4.0M,$53.0M,$1.0M,$412.0M,"$6,010.0M","$6,551.0M","$6,072.0M",$229.0M,"$18,862.0M",5.9%,0.1%,0.9%,0.4%,2.2%
Iowa,2013,$361.0M,$0.0M,$17.0M,$37.0M,$415.0M,"$6,299.0M","$5,727.0M","$7,398.0M",$107.0M,"$19,531.0M",5.7%,0.0%,0.2%,34.6%,2.1%
Iowa,2014,$372.0M,$0.0M,$52.0M,$37.0M,$461.0M,"$6,564.0M","$5,928.0M","$6,932.0M",$107.0M,"$19,531.0M",5.7%,0.0%,0.8%,34.6%,2.4%
Iowa,2015,$379.0M,$2.0M,$77.0M,$0.0M,$458.0M,"$7,050.0M","$6,295.0M","$8,832.0M",$28.0M,"$22,205.0M",5.4%,0.0%,0.9%,0.0%,2.1%
Iowa,2016,$384.0M,$1.0M,$63.0M,$0.0M,$448.0M,"$7,247.0M","$6,328.0M","$9,506.0M",$13.0M,"$23,094.0M",5.3%,0.0%,0.7%,0.0%,1.9%
Iowa,2017,$379.0M,$1.0M,$65.0M,$0.0M,$445.0M,"$7,258.0M","$6,389.0M","$9,034.0M",$6.0M,"$22,687.0M",5.2%,0.0%,0.7%,0.0%,2.0%
Iowa,2018,$374.0M,$0.0M,$56.0M,$0.0M,$430.0M,"$7,254.0M","$6,260.0M","$9,860.0M",$8.0M,"$23,382.0M",5.2%,0.0%,0.6%,0.0%,1.8%
Iowa,2019,$381.0M,$1.0M,$60.0M,$0.0M,$442.0M,"$7,644.0M","$6,513.0M","$9,399.0M",$7.0M,"$23,563.0M",5.0%,0.0%,0.6%,0.0%,1.9%
Kansas,1991,$136.2M,$0.2M,$13.9M,$0.0M,$150.3M,"$2,495.4M",$989.8M,"$1,566.9M",$30.1M,"$5,082.2M",5.5%,0.0%,0.9%,0.0%,3.0%
Kansas,1992,$148.2M,$0.1M,$15.4M,$0.0M,$163.7M,"$2,491.3M","$1,396.7M","$1,578.5M",$20.9M,"$5,487.4M",5.9%,0.0%,1.0%,0.0%,3.0%
Kansas,1993,$154.9M,$0.4M,$12.4M,$0.0M,$167.7M,"$2,690.1M","$1,569.8M","$1,635.8M",$37.6M,"$5,933.3M",5.8%,0.0%,0.8%,0.0%,2.8%
Kansas,1994,$177.8M,$0.6M,$20.8M,$0.8M,$200.0M,"$3,111.0M","$1,611.3M","$2,014.3M",$45.9M,"$6,782.5M",5.7%,0.0%,1.0%,1.7%,2.9%
Kansas,1995,$186.0M,$0.0M,$16.0M,$1.0M,$203.0M,"$3,310.0M","$1,605.0M","$2,247.0M",$56.0M,"$7,218.0M",5.6%,0.0%,0.7%,1.8%,2.8%
Kansas,1996,$190.0M,$1.0M,$19.0M,$0.0M,$210.0M,"$3,439.0M","$1,704.0M","$2,425.0M",$61.0M,"$7,629.0M",5.5%,0.1%,0.8%,0.0%,2.8%
Kansas,1997,$199.0M,$0.0M,$20.0M,$0.0M,$219.0M,"$3,538.0M","$1,732.0M","$2,508.0M",$67.0M,"$7,845.0M",5.6%,0.0%,0.8%,0.0%,2.8%
Kansas,1998,$222.0M,$5.0M,$20.0M,$0.0M,$247.0M,"$3,801.0M","$1,830.0M","$1,978.0M",$63.0M,"$7,672.0M",5.8%,0.3%,1.0%,0.0%,3.2%
Kansas,1999,$248.3M,$9.6M,$26.3M,$0.0M,$284.2M,"$4,196.2M","$2,089.0M","$1,906.7M",$114.5M,"$8,306.4M",5.9%,0.5%,1.4%,0.0%,3.4%
Kansas,2000,$262.5M,$5.9M,$36.8M,$10.9M,$316.1M,"$4,367.7M","$2,225.3M","$1,690.5M",$134.6M,"$8,418.1M",6.0%,0.3%,2.2%,8.1%,3.8%
Kansas,2001,$267.0M,$8.0M,$55.0M,$2.0M,$332.0M,"$4,429.0M","$2,585.0M","$1,695.0M",$140.0M,"$8,849.0M",6.0%,0.3%,3.2%,1.4%,3.8%
Kansas,2002,$271.0M,$13.0M,$47.0M,$1.0M,$332.0M,"$4,466.0M","$2,849.0M","$2,339.0M",$149.0M,"$9,803.0M",6.1%,0.5%,2.0%,0.7%,3.4%
Kansas,2003,$263.0M,$11.0M,$41.0M,$3.0M,$318.0M,"$4,137.0M","$2,997.0M","$2,800.0M",$148.0M,"$10,082.0M",6.4%,0.4%,1.5%,2.0%,3.2%
Kansas,2004,$267.0M,$9.0M,$39.0M,$6.0M,$321.0M,"$4,316.0M","$2,945.0M","$2,714.0M",$222.0M,"$10,197.0M",6.2%,0.3%,1.4%,2.7%,3.1%
Kansas,2005,$276.0M,$8.0M,$42.0M,$6.0M,$332.0M,"$4,690.0M","$3,410.0M","$2,297.0M",$188.0M,"$10,585.0M",5.9%,0.2%,1.8%,3.2%,3.1%
Kansas,2006,$301.0M,$3.0M,$52.0M,$6.0M,$362.0M,"$5,139.0M","$3,265.0M","$2,821.0M",$208.0M,"$11,433.0M",5.9%,0.1%,1.8%,2.9%,3.2%
Kansas,2007,$310.0M,$3.0M,$43.0M,$11.0M,$367.0M,"$5,608.0M","$3,131.0M","$2,985.0M",$245.0M,"$11,969.0M",5.5%,0.1%,1.4%,4.5%,3.1%
Kansas,2008,$339.0M,$4.0M,$39.0M,$11.0M,$393.0M,"$6,102.0M","$3,522.0M","$2,787.0M",$278.0M,"$12,689.0M",5.6%,0.1%,1.4%,4.0%,3.1%
Kansas,2009,$328.0M,$3.0M,$43.0M,$9.0M,$383.0M,"$6,064.0M","$3,795.0M","$3,800.0M",$301.0M,"$13,960.0M",5.4%,0.1%,1.1%,3.0%,2.7%
Kansas,2010,$278.0M,$48.0M,$32.0M,$9.0M,$367.0M,"$5,268.0M","$4,532.0M","$3,926.0M",$318.0M,"$14,044.0M",5.3%,1.1%,0.8%,2.8%,2.6%
Kansas,2011,$289.0M,$57.0M,$15.0M,$10.0M,$371.0M,"$5,667.0M","$4,472.0M","$4,172.0M",$374.0M,"$14,685.0M",5.1%,1.3%,0.4%,2.7%,2.5%
Kansas,2012,$332.0M,$8.0M,$18.0M,$9.0M,$367.0M,"$6,098.0M","$4,153.0M","$3,737.0M",$408.0M,"$14,396.0M",5.4%,0.2%,0.5%,2.2%,2.5%
Kansas,2013,$352.0M,$2.0M,$22.0M,$7.0M,$383.0M,"$6,146.0M","$3,890.0M","$3,518.0M",$415.0M,"$13,969.0M",5.7%,0.1%,0.6%,1.7%,2.7%
Kansas,2014,$349.0M,$2.0M,$23.0M,$8.0M,$382.0M,"$5,983.0M","$3,900.0M","$4,474.0M",$366.0M,"$14,723.0M",5.8%,0.1%,0.5%,2.2%,2.6%
Kansas,2015,$334.0M,$5.0M,$20.0M,$5.0M,$364.0M,"$6,237.6M","$3,959.8M","$4,511.0M",$381.0M,"$15,089.4M",5.4%,0.1%,0.4%,1.3%,2.4%
Kansas,2016,$347.0M,$8.0M,$24.0M,$4.0M,$383.0M,"$6,115.4M","$3,637.0M","$4,958.0M",$414.0M,"$15,124.4M",5.7%,0.2%,0.5%,1.0%,2.5%
Kansas,2017,$347.0M,$5.0M,$20.0M,$5.0M,$377.0M,"$6,371.3M","$3,748.9M","$5,048.4M",$393.0M,"$15,561.6M",5.4%,0.1%,0.4%,1.3%,2.4%
Kansas,2018,$349.0M,$3.0M,$19.0M,$5.0M,$376.0M,"$6,649.1M","$3,772.9M","$5,113.3M",$399.4M,"$15,934.6M",5.2%,0.1%,0.4%,1.3%,2.4%
Kansas,2019,$377.0M,$4.0M,$22.0M,$5.0M,$408.0M,"$7,123.3M","$4,165.7M","$5,487.1M",$428.6M,"$17,204.8M",5.3%,0.1%,0.4%,1.2%,2.4%
Kentucky,1991,$160.5M,$0.6M,$10.9M,$0.0M,$172.0M,"$4,182.6M","$2,127.8M","$2,424.2M",$0.0M,"$8,734.6M",3.8%,0.0%,0.4%,,2.0%
Kentucky,1992,$172.6M,$0.7M,$10.8M,$0.0M,$184.1M,"$4,538.8M","$2,554.4M","$2,820.0M",$0.0M,"$9,913.2M",3.8%,0.0%,0.4%,,1.9%
Kentucky,1993,$170.9M,$0.6M,$13.2M,$0.0M,$184.7M,"$4,520.2M","$2,749.2M","$2,883.4M",$0.0M,"$10,152.8M",3.8%,0.0%,0.5%,,1.8%
Kentucky,1994,$174.6M,$1.2M,$9.6M,$0.0M,$185.4M,"$4,639.9M","$2,700.7M","$3,437.9M",$0.0M,"$10,778.5M",3.8%,0.0%,0.3%,,1.7%
Kentucky,1995,$192.4M,$2.0M,$16.9M,$0.0M,$211.3M,"$4,996.8M","$2,907.1M","$3,509.1M",$0.0M,"$11,413.0M",3.9%,0.1%,0.5%,,1.9%
Kentucky,1996,$207.2M,$1.3M,$17.6M,$0.0M,$226.1M,"$5,284.1M","$2,928.3M","$4,377.4M",$0.0M,"$12,589.8M",3.9%,0.0%,0.4%,,1.8%
Kentucky,1997,$229.6M,$6.2M,$13.8M,$0.0M,$249.6M,"$5,201.4M","$3,280.6M","$3,326.4M",$0.0M,"$11,808.4M",4.4%,0.2%,0.4%,,2.1%
Kentucky,1998,$298.7M,$17.3M,$32.6M,$0.0M,$348.6M,"$5,957.7M","$3,906.2M","$3,501.0M",$0.0M,"$13,364.9M",5.0%,0.4%,0.9%,,2.6%
Kentucky,1999,$307.2M,$16.8M,$96.0M,$0.0M,$420.0M,"$6,336.6M","$4,221.1M","$4,136.4M",$0.0M,"$14,694.1M",4.8%,0.4%,2.3%,,2.9%
Kentucky,2000,$333.0M,$17.0M,$60.0M,$0.0M,$410.0M,"$6,539.0M","$4,772.0M","$4,445.0M",$0.0M,"$15,756.0M",5.1%,0.4%,1.3%,,2.6%
Kentucky,2001,$357.0M,$21.0M,$63.0M,$0.0M,$441.0M,"$6,969.0M","$5,118.0M","$4,568.0M",$0.0M,"$16,655.0M",5.1%,0.4%,1.4%,,2.6%
Kentucky,2002,$393.0M,$20.0M,$60.0M,$0.0M,$473.0M,"$7,082.0M","$5,730.0M","$4,411.0M",$0.0M,"$17,223.0M",5.5%,0.3%,1.4%,,2.7%
Kentucky,2003,$371.0M,$17.0M,$114.0M,$0.0M,$502.0M,"$7,047.0M","$5,966.0M","$5,355.0M",$0.0M,"$18,368.0M",5.3%,0.3%,2.1%,,2.7%
Kentucky,2004,$387.0M,$16.0M,$79.0M,$0.0M,$482.0M,"$7,206.0M","$6,344.0M","$5,457.0M",$0.0M,"$19,007.0M",5.4%,0.3%,1.4%,,2.5%
Kentucky,2005,$407.0M,$15.0M,$48.0M,$0.0M,$470.0M,"$7,570.0M","$6,310.0M","$5,452.0M",$0.0M,"$19,332.0M",5.4%,0.2%,0.9%,,2.4%
Kentucky,2006,$431.0M,$16.0M,$52.0M,$0.0M,$499.0M,"$8,333.0M","$6,767.0M","$5,392.0M",$0.0M,"$20,492.0M",5.2%,0.2%,1.0%,,2.4%
Kentucky,2007,$465.0M,$16.0M,$45.0M,$0.0M,$526.0M,"$8,781.0M","$7,051.0M","$6,448.0M",$0.0M,"$22,280.0M",5.3%,0.2%,0.7%,,2.4%
Kentucky,2008,$528.0M,$16.0M,$28.0M,$0.0M,$572.0M,"$9,334.0M","$6,720.0M","$6,941.0M",$0.0M,"$22,995.0M",5.7%,0.2%,0.4%,,2.5%
Kentucky,2009,$513.0M,$12.0M,$43.0M,$0.0M,$568.0M,"$9,031.0M","$8,233.0M","$6,796.0M",$0.0M,"$24,060.0M",5.7%,0.1%,0.6%,,2.4%
Kentucky,2010,$441.4M,$89.7M,$40.0M,$0.0M,$571.1M,"$8,450.4M","$10,476.6M","$7,013.6M",$0.0M,"$25,940.6M",5.2%,0.9%,0.6%,,2.2%
Kentucky,2011,$505.0M,$35.0M,$44.0M,$0.0M,$584.0M,"$8,691.0M","$9,763.0M","$6,978.0M",$0.0M,"$25,432.0M",5.8%,0.4%,0.6%,,2.3%
Kentucky,2012,$533.0M,$14.0M,$58.0M,$0.0M,$605.0M,"$9,334.0M","$8,687.0M","$7,628.0M",$0.0M,"$25,649.0M",5.7%,0.2%,0.8%,,2.4%
Kentucky,2013,$558.0M,$13.0M,$46.0M,$0.0M,$617.0M,"$9,426.0M","$8,001.0M","$8,246.0M",$0.0M,"$25,673.0M",5.9%,0.2%,0.6%,,2.4%
Kentucky,2014,$545.0M,$15.0M,$48.0M,$0.0M,$608.0M,"$9,705.0M","$9,767.0M","$8,361.0M",$0.0M,"$27,833.0M",5.6%,0.2%,0.6%,,2.2%
Kentucky,2015,$559.0M,$15.0M,$37.0M,$0.0M,$611.0M,"$10,046.0M","$11,827.0M","$8,938.0M",$0.0M,"$30,811.0M",5.6%,0.1%,0.4%,,2.0%
Kentucky,2016,$594.5M,$12.6M,$43.3M,$0.0M,$650.3M,"$10,230.1M","$12,181.7M","$9,247.3M",$0.0M,"$31,659.1M",5.8%,0.1%,0.5%,,2.1%
Kentucky,2017,$626.4M,$10.9M,$44.6M,$0.0M,$681.9M,"$11,074.9M","$12,257.8M","$10,230.1M",$0.0M,"$33,562.8M",5.7%,0.1%,0.4%,,2.0%
